                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8712,                 2.3121,                 1.7756,                0.64926,                0.63356,                0.67317,                0.38931,                 1.6457,                 1.2825,                   1.71,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.6461,                 1.4184,                 1.5566,                  0.623,                0.69632,                   0.69,                0.41548,                 1.5849,                 1.1732,                 1.7039,              0.0060062,              0.0060062,              0.0060062
                      3,                 1.6177,                  1.367,                 1.5431,                   0.67,                0.70125,                0.71816,                0.44692,                  1.501,                 1.1103,                 1.6721,              0.0080196,              0.0080196,              0.0080196
